House district,Total candidates,D candidates,R candidates,Status (Inc=1),Status,D% gov 2018,Assessment,% of dist in GA-6 or GA-7,D runoff?
168,1,1,0,1,DI-UC,63%,D (no R),0%,
169,2,1,1,1,RI,24%,likely R,0%,
170,2,1,1,1,RI,26%,likely R,0%,
171,1,0,1,1,RI-UC,35%,R (no D),0%,
172,1,0,1,1,RI-UC,29%,R (no D),0%,
173,2,1,1,1,RI,41%,longer shot D,0%,
174,1,0,1,1,RI-UC,25%,R (no D),0%,
175,1,0,1,1,RI-UC,37%,R (no D),0%,
176,2,1,1,1,RI,31%,likely R,0%,
177,2,2,0,1,DI (no R),55%,D (no R),0%,yes
178,1,0,1,1,RI-UC,10%,R (no D),0%,
179,2,1,1,1,RI,40%,longer shot D,0%,
180,1,0,1,1,RI-UC,32%,R (no D),0%,
